mode,archetype,strategy,Environmental,Economic,Social,Technological,WSM,WSM_rank,TOPSIS,TOPSIS_rank
NO_BRIDGE_CREDIT,RO-A6,DIGITAL,50.00770032774125,49.915825951106086,63.831874619856016,51.43571946395081,53.797780090663544,4,19.25917500496598,4
NO_BRIDGE_CREDIT,RO-A6,SOCIAL,49.34120288538324,48.402440749523414,63.831874619856016,51.43571946395081,53.25280942967837,6,6.999178350220338,6
NO_BRIDGE_CREDIT,RO-A6,INTEGRATED,60.9256138890668,51.90235919675444,63.831874619856016,51.43571946395081,57.023891792407014,1,100.0,1
NO_BRIDGE_CREDIT,RO-A7,ENERGY,60.58240352153174,48.01171217285964,63.85469748176754,51.50964009272632,55.98961331722131,2,71.874481756732,2
NO_BRIDGE_CREDIT,RO-A7,MAINT,50.90773843278156,51.43472272254732,63.85469748176754,51.50964009272632,54.426699682455684,3,30.007289952222383,3
NO_BRIDGE_CREDIT,RO-A7,CIRCULAR,51.57130797530864,47.68210167202032,63.85469748176754,51.50964009272632,53.6544368054557,5,17.273669609912112,5
NO_BRIDGE_CREDIT,RO-A7,DIGITAL,50.01622177774125,50.032163595736165,63.85469748176754,51.50964009272632,53.85318073699282,4,18.992652019259538,4
NO_BRIDGE_CREDIT,RO-A7,SOCIAL,49.349724335383236,48.52397560519969,63.85469748176754,51.50964009272632,53.30950937876919,6,6.917877345633173,6
NO_BRIDGE_CREDIT,RO-A7,INTEGRATED,61.10343298377927,52.01532999758254,63.85469748176754,51.50964009272632,57.12077513896392,1,100.0,1
NO_BRIDGE_CREDIT,RO-A8,ENERGY,59.476814343457505,47.98145676248916,63.84088980244588,51.3617988351753,55.66523993589196,2,67.90598386065663,2
